Numberoftransactions,Sourcepartner,Datafeild
23,INSIGHTFR,06-01-2016
20,Tech Data (Finland),12-01-2016
29,ARGOS UK,04-01-2016
106,Tech Data (Canada) (Alt 2),13-01-2016
10,INSIGHTIT,07-01-2016
95,Best Buy (PC),04-01-2016
14,CANCOM,14-01-2016
12,Ingram (Italy),06-01-2016
1,Ingram (Spain) (Alt 2),30-01-2016
7,Dixons (UK),05-01-2016
632,Walmart (Alt 3),11-01-2016
20,Hewlett-Packard-E Houston TX,27-01-2016
933,Bertelsmann,07-01-2016
7,Toys R Us (Hardware),17-01-2016
1,Software House Canada,25-01-2016
16,Ingram FPP (MEXICO),09-01-2016
100,DHL China,26-01-2016
29,ABC Data,20-01-2016
8,Insight Technology Solutions GmbH,26-01-2016
1,GTSI,09-01-2016
11,Target PC,19-01-2016
157,DHL China,19-01-2016
3,"Synnex, Australia",15-01-2016
85,DHL China,13-01-2016
50,SIRAS Redmond,09-01-2016
399,Dell,21-01-2016
1,Dixons (UK),16-01-2016
2,Auchan France,26-01-2016
41,Tech Data (Belgium),04-01-2016
519,Dell,04-01-2016
3,Tech Data (Spain),28-01-2016
21,En Pointe Technologies,19-01-2016
1,Ingram (Sweden) (Alt 2),01-01-2016
1,MUELLER,08-01-2016
1,INSIGHTIT,26-01-2016
8,Toys R US (Software),31-01-2016
2,Microcenter (Alt 2),08-01-2016
35,Tech Pacific Australia,14-01-2016
8795,Walmart,07-01-2016
24,ABC Data,25-01-2016
4,Best Buy Canada,13-01-2016
1,Verkkokauppa.com,26-01-2016
9,Office Centre,07-01-2016
1,Happinet,20-01-2016
6,Bertelsmann Manufacturing,12-01-2016
9,G2B_Innelec,25-01-2016
9,Bertelsmann Manufacturing,18-01-2016
120,Frys,13-01-2016
4,Ingram (France),17-01-2016
12,TECH PACIFIC HONG KONG,15-01-2016
198,Westcoast Ltd,06-01-2016
271,Walmart (Alt 3),08-01-2016
62,MSFTMSAP,21-01-2016
1,Ingram (Switzerland) (Alt 2),23-01-2016
15,Tech Pacific Australia,08-01-2016
287,ElCorteIngles (Spain),11-01-2016
6,Ingram (US),10-01-2016
216,Target XBOX,28-01-2016
25,Ingram (Belgium),11-01-2016
2,Creative Computers,23-01-2016
9,Office Depot,25-01-2016
4,Boulanger,29-01-2016
1459,Bertelsmann,26-01-2016
4,Insight Hong Kong,06-01-2016
11,Tech Data (Spain),04-01-2016
17,Ingram (Belgium),13-01-2016
2,"Flextronics, Manaus",23-01-2016
78,Ingram (Netherlands),21-01-2016
1,GTI (Spain),29-01-2016
117,Tech Pacific Australia,22-01-2016
7,Tech Data (Switzerland),05-01-2016
181,MediaMarket EMEA,25-01-2016
50,Walmart,01-01-2016
3,Happinet,29-01-2016
18,Target PC,23-01-2016
817,Tech Data (Alt 2),07-01-2016
1,Ingram Canada (CAO),30-01-2016
30,NETWORLD,06-01-2016
9,Ingram FPP (US),07-01-2016
17,Mentor Miami,28-01-2016
12,Tech Pacific New Zealand,18-01-2016
10,Office Depot,17-01-2016
73,COPACO,20-01-2016
33,Target XBOX,26-01-2016
82,PC Connection,26-01-2016
11,VMSBTSP,25-01-2016
1,Ingram (Netherlands) (Alt 2),08-01-2016
9,Ingram (Netherlands),01-01-2016
14,Tech Data (Germany),12-01-2016
10,Mindware,07-01-2016
80,INSIGHTUK,07-01-2016
46,DICKERAU,11-01-2016
54,MediaMarket EMEA,15-01-2016
1,Tech Data (Switzerland),09-01-2016
4,Microcenter (Alt 2),18-01-2016
624,C2000 (all European sites),11-01-2016
174,Citi Bank EMEA,11-01-2016
5252,C2000 (all European sites),30-01-2016
2,Dixons (UK),10-01-2016
53,TrustMarque Solutions,26-01-2016
5,Bertelsmann Manufacturing,14-01-2016
858,Dell,27-01-2016
6,Apple,18-01-2016
1,Tech Data (Spain),02-01-2016
11,SAP-COFF,12-01-2016
19,ABC Data,22-01-2016
9,Tech Data (Sweden),12-01-2016
2,Verkkokauppa.com,07-01-2016
38,Techpac_Singapore,22-01-2016
5,Tech Data (Latin America),28-01-2016
1,AB Poland,03-01-2016
139,Ingram (France),07-01-2016
2,Costco US (Alt 3),18-01-2016
4,Tech Data FPP (US),09-01-2016
39,DICKERAU,05-01-2016
19,Computacenter UK,13-01-2016
9,Toys R Us (Hardware),25-01-2016
1,Insight Hong Kong,29-01-2016
7,INSIGHTIT,11-01-2016
21,SYNNEXAU,05-01-2016
913,Dell,08-01-2016
2531,Walmart,18-01-2016
177,Actebis (Germany),07-01-2016
2,Tech Data (Spain),26-01-2016
5,Tech Data (Norway),26-01-2016
1,Tech Data Latin America,16-01-2016
92,Office Depot,19-01-2016
58,ExpressData,18-01-2016
11,Mindware,27-01-2016
96,Actebis (Denmark) (Alt 2),27-01-2016
31,Mentor Ontario CA,28-01-2016
12,Office Depot,15-01-2016
15,CANCOM,20-01-2016
5,Insight Technology Solutions GmbH,18-01-2016
3111,Walmart,14-01-2016
36,Also ABC (Switzerland),28-01-2016
11,VMSBTSP,19-01-2016
6,INSIGHTBE,14-01-2016
4,DARTY,26-01-2016
18,Ingram (Switzerland),04-01-2016
14,Tech Data (Finland),08-01-2016
50,Hewlett-Packard-E Houston TX,11-01-2016
3,Staples,13-01-2016
32,Also ABC (Switzerland),08-01-2016
33,Best Buy Canada,26-01-2016
1820,MOET97,21-01-2016
44,Tech Data,06-01-2016
2,Ingram (France) (Alt 2),05-01-2016
108,VMSBTSAGS,11-01-2016
60,MSFTMSAP,13-01-2016
115,Computer Discount Warehouse,25-01-2016
4,BLACKHAWK,30-01-2016
8,Tech Pacific New Zealand,10-01-2016
6,INSIGHTBE,12-01-2016
75,Frys,19-01-2016
6121,Walmart,28-01-2016
3,Tech Data (Finland),18-01-2016
5,Hewlett-Packard-E Houston TX,09-01-2016
2,ElCorteIngles (Spain),17-01-2016
27,Office Centre,26-01-2016
54,Esprinet,21-01-2016
5,Ingram FPP (US),28-01-2016
3,"DHL, China",19-01-2016
3,Tech Pacific Australia,03-01-2016
113,Mindware,11-01-2016
141,Actebis (Denmark) (Alt 2),11-01-2016
82,Ingram (Netherlands),05-01-2016
3,Leclerc,05-01-2016
5,Ingram FPP (US),13-01-2016
8,Synnex (Japan),05-01-2016
5,Inacom,18-01-2016
124,VMSBTSAGS,13-01-2016
4,Toys R Us (Hardware),31-01-2016
58,Walmart,12-01-2016
42,FOXLINK,07-01-2016
29,Ingram (Switzerland),14-01-2016
